iter	Passed	Remaining
413	2805	3971
414	2811	3962
415	2816	3954
416	2822	3945
417	2827	3936
418	2833	3928
419	2838	3919
420	2843	3911
421	2849	3902
422	2854	3894
423	2860	3885
424	2866	3878
425	2872	3869
426	2878	3862
427	2884	3854
428	2890	3847
429	2896	3840
430	2901	3831
431	2906	3821
432	2912	3814
433	2917	3805
434	2922	3796
435	2929	3789
436	2938	3785
437	2952	3788
438	2964	3788
439	2977	3789
440	2986	3785
441	2997	3784
442	3006	3779
443	3017	3778
444	3028	3776
445	3036	3771
446	3046	3768
447	3054	3763
448	3063	3759
449	3072	3755
450	3080	3749
451	3085	3741
452	3091	3733
453	3097	3724
454	3103	3716
455	3109	3709
456	3114	3700
457	3119	3691
458	3125	3683
459	3130	3674
460	3135	3665
461	3141	3658
462	3147	3650
463	3153	3642
464	3159	3634
465	3164	3626
466	3169	3617
467	3176	3610
468	3181	3602
469	3186	3593
470	3193	3586
471	3198	3577
472	3203	3569
473	3209	3561
474	3215	3554
475	3223	3548
476	3228	3539
477	3233	3531
478	3240	3525
479	3246	3517
480	3252	3509
481	3259	3502
482	3263	3493
483	3271	3487
484	3276	3479
485	3282	3471
486	3289	3465
487	3294	3456
488	3301	3449
489	3309	3444
490	3314	3436
491	3320	3428
492	3325	3419
493	3331	3412
494	3337	3405
495	3342	3396
496	3347	3388
497	3353	3380
498	3359	3373
499	3364	3364
500	3370	3357
501	3375	3348
502	3380	3340
503	3387	3333
504	3393	3326
505	3399	3319
506	3405	3311
507	3410	3303
508	3416	3295
509	3422	3287
510	3426	3279
511	3432	3271
512	3437	3263
513	3442	3255
514	3447	3247
515	3453	3239
516	3458	3230
517	3463	3222
518	3468	3214
519	3473	3206
520	3479	3198
521	3485	3192
522	3491	3184
523	3497	3177
524	3502	3168
525	3507	3160
526	3513	3153
527	3518	3145
528	3523	3137
529	3531	3132
530	3539	3126
531	3546	3119
532	3554	3114
533	3561	3108
534	3568	3101
535	3574	3094
536	3582	3088
537	3588	3081
538	3596	3076
539	3603	3069
540	3611	3063
541	3616	3056
542	3623	3049
543	3631	3043
544	3638	3037
545	3645	3031
546	3652	3024
547	3658	3017
548	3664	3010
549	3669	3002
550	3675	2995
551	3681	2987
552	3686	2979
553	3692	2972
554	3698	2965
555	3703	2957
556	3709	2950
557	3714	2942
558	3719	2934
559	3725	2927
560	3730	2918
561	3734	2910
562	3741	2904
563	3746	2896
564	3751	2888
565	3757	2881
566	3762	2873
567	3767	2865
568	3774	2859
569	3780	2851
570	3785	2843
571	3791	2836
572	3797	2829
573	3802	2822
574	3808	2815
575	3813	2807
576	3818	2799
577	3824	2792
578	3829	2784
579	3835	2777
580	3841	2770
581	3846	2762
582	3851	2754
583	3857	2747
584	3862	2740
585	3867	2732
586	3873	2725
587	3879	2717
588	3884	2710
589	3890	2703
590	3895	2695
591	3900	2688
592	3907	2681
593	3912	2674
594	3917	2666
595	3924	2660
596	3929	2652
597	3934	2644
598	3940	2638
599	3945	2630
600	3950	2622
601	3956	2615
602	3961	2608
603	3966	2600
604	3972	2593
605	3977	2585
606	3982	2578
607	3988	2571
608	3992	2563
609	3997	2555
610	4004	2549
611	4009	2542
612	4015	2534
613	4021	2528
614	4026	2520
615	4031	2513
616	4037	2506
617	4042	2498
618	4047	2491
619	4053	2484
620	4057	2476
621	4063	2469
622	4070	2462
623	4075	2455
